Case,CaseName,Stage,StageName,DRI,PValue
0.1,Uppsala Speaks_Control,1,PRE,0.40454293054656865,0.375
0.1,Uppsala Speaks_Control,2,POST,0.28267996885342295,0.8531
1.0,Uppsala Speaks_Group Briefing,1,PRE,0.3384115898230393,0.7241
1.0,Uppsala Speaks_Group Briefing,2,POST,0.5276924796510876,0.1962
2.0,Uppsala Speaks_Group Building Plus,1,PRE,0.4306278546970681,0.5623
2.0,Uppsala Speaks_Group Building Plus,2,POST,0.66678792721933,0.0006
3.0,FNQCJ,1,PRE,-0.07104359808130822,0.9139
3.0,FNQCJ,2,POST,0.490588468232938,0.0823
4.0,ACP,1,PRE,0.14228978962757277,0.5211
4.0,ACP,2,POST,0.016670326922834988,0.9934
5.0,Sydney CC,1,PRE,0.380240176329816,0.7962
5.0,Sydney CC,2,POST,0.45602850887769764,0.6379
6.0,Forest ERA_Citizens,1,PRE,0.3624828530901154,0.4744
6.0,Forest ERA_Citizens,2,POST,0.4960087725677449,0.0927
7.0,Forest ERA_Stakeholders,1,PRE,0.4080243120261533,0.6122
7.0,Forest ERA_Stakeholders,2,POST,0.4846059895254837,0.5001
8.0,Biobanking_UBC,1,PRE,0.23261385057951633,0.8764
8.0,Biobanking_UBC,2,POST,0.32863827715167915,0.5772
9.0,Biobanking_Mayo,1,PRE,0.2762641224189706,0.6853
9.0,Biobanking_Mayo,2,POST,0.33608068844243455,0.7367
10.0,Biobanking_WA_Citizens,1,PRE,0.20576750709918867,0.8761
10.0,Biobanking_WA_Citizens,2,POST,0.5037228010273893,0.0995
11.0,Biobanking_WA_Stakeholders,1,PRE,0.33340805301164567,0.4424
11.0,Biobanking_WA_Stakeholders,2,POST,0.26704454886049356,0.8417
12.0,Fremantle Bridge,1,PRE,0.2109391919163477,0.8137
12.0,Fremantle Bridge,2,POST,0.33810436303812064,0.4008
13.0,CCPS,1,PRE,0.5295712223574569,0.1346
13.0,CCPS,2,POST,0.617570521982931,0.2545
14.0,Energy Futures_WA,1,PRE,0.24592118626077153,0.955
14.0,Energy Futures_WA,2,POST,0.48095328169342166,0.3414
15.0,Energy Futures_NSW,1,PRE,0.24460076229104488,0.9587
15.0,Energy Futures_NSW,2,POST,0.4685390075854803,0.4707
16.0,Energy Futures_Vic,1,PRE,0.2842890144449495,0.9072
16.0,Energy Futures_Vic,2,POST,0.6172403417825487,0.0181
17.0,Valsamoggia,1,PRE,0.35959642113536106,0.058
17.0,Valsamoggia,2,POST,0.3060081127341603,0.199
18.0,GBR Futures,1,PRE,0.53337040405532,0.4685
18.0,GBR Futures,2,POST,0.6527827367810135,0.4568
0.19,AusCJ_Control,1,PRE,0.4294794268123392,0.3555
0.19,AusCJ_Control,2,POST,0.44966442083771163,0.2555
19.0,AusCJ,1,PRE,0.33578659841333525,0.7183
19.0,AusCJ,2,POST,0.47449406473591416,0.1836
