case,CaseName,pre_dri,post_dri,delta_dri,standard_pre_dri,standard_post_dri,standard_delta_dri,min_variance_explained_val,F_dimensions,Pref_dimensions,correlation_method
0.1,Uppsala Speaks_Control,0.3777643321514501,0.2381401011524118,-0.1396242309990383,0.40454293054656865,0.28267996885342295,-0.1218629616931457,0.99,16,6,pearson
1.0,Uppsala Speaks_Group Briefing,0.279355778016791,0.5572466676288237,0.2778908896120327,0.3384115898230393,0.5276924796510876,0.18928088982804825,0.99,18,6,pearson
2.0,Uppsala Speaks_Group Building Plus,0.3553039290985949,0.656592592506007,0.3012886634074121,0.4306278546970681,0.66678792721933,0.2361600725222619,0.99,20,6,pearson
3.0,FNQCJ,-0.22446074399156257,0.6641273448707232,0.8885880888622858,-0.07104359808130822,0.490588468232938,0.5616320663142462,0.99,11,4,pearson
4.0,ACP,-0.005302771571873532,-0.16451503576862603,-0.1592122641967525,0.14228978962757277,0.016670326922834988,-0.12561946270473778,0.99,33,4,pearson
5.0,Sydney CC,0.4083345709599604,0.37692706148215915,-0.03140750947780124,0.380240176329816,0.45602850887769764,0.07578833254788164,0.99,17,6,pearson
6.0,Forest ERA_Citizens,0.31012067662813836,0.5543913044541431,0.24427062782600473,0.3624828530901154,0.4960087725677449,0.13352591947762948,0.99,12,6,pearson
7.0,Forest ERA_Stakeholders,0.4351353932152262,0.6565410727575371,0.22140567954231094,0.4080243120261533,0.4846059895254837,0.07658167749933043,0.99,12,5,pearson
8.0,Biobanking_UBC,0.17566032085375793,0.21521085207523294,0.039550531221475005,0.23261385057951633,0.32863827715167915,0.09602442657216281,0.99,17,6,pearson
9.0,Biobanking_Mayo,0.22018925681622759,0.24106247805432224,0.020873221238094652,0.2762641224189706,0.33608068844243455,0.05981656602346397,0.99,16,6,pearson
10.0,Biobanking_WA_Citizens,0.17521202162137972,0.5163925133601039,0.3411804917387242,0.20576750709918867,0.5037228010273893,0.29795529392820064,0.99,10,5,pearson
11.0,Biobanking_WA_Stakeholders,0.1181860459319235,0.1782304112991553,0.06004436536723179,0.33340805301164567,0.26704454886049356,-0.06636350415115211,0.99,14,6,pearson
12.0,Fremantle Bridge,0.16446515910888615,0.3261669800110174,0.16170182090213125,0.2109391919163477,0.33810436303812064,0.12716517112177295,0.99,26,5,pearson
13.0,CCPS,0.49231595501247183,0.6140786140343442,0.12176265902187233,0.5295712223574569,0.617570521982931,0.08799929962547415,0.99,20,6,pearson
14.0,Energy Futures_WA,0.20021343940937686,0.4490610831994035,0.24884764379002666,0.24592118626077153,0.48095328169342166,0.23503209543265013,0.99,19,7,pearson
15.0,Energy Futures_NSW,0.2151012168567199,0.3481332885155526,0.13303207165883268,0.24460076229104488,0.4685390075854803,0.2239382452944354,0.99,14,7,pearson
16.0,Energy Futures_Vic,0.27605707300242566,0.47623266449851265,0.200175591496087,0.2842890144449495,0.6172403417825487,0.33295132733759925,0.99,15,7,pearson
17.0,Valsamoggia,0.11837244038143835,0.27064878950279625,0.1522763491213579,0.35959642113536106,0.3060081127341603,-0.05358830840120077,0.99,14,3,pearson
18.0,GBR Futures,0.4813747174954379,0.5975107452609454,0.11613602776550747,0.53337040405532,0.6527827367810135,0.11941233272569352,0.99,7,4,pearson
0.19,AusCJ_Control,0.40709517744230683,0.38856095589640316,-0.018534221545903673,0.4294794268123392,0.44966442083771163,0.020184994025372438,0.99,17,7,pearson
19.0,AusCJ,0.32164973811055786,0.4964382866424386,0.17478854853188075,0.33578659841333525,0.47449406473591416,0.1387074663225789,0.99,16,7,pearson
-1.0,Means,0.2524830345976017,0.4122466081634956,0.1597635735658939,0.31510398423120345,0.44104312421446845,0.12593913998326503,0.99,16,6,pearson
