case,CaseName,ρPre,ρPost,ρDelta,DRIPre,DRIPost,DRIDelta,MeanPermutedDRIPre,MeanPermutedDRIPost,MeanPermutedDRIDelta,pValuePre,pValuePost,pValueDelta,CIPre,CIPost,CIDelta
0.1,Uppsala Speaks_Control,0.42244399882433464,0.3024315949055901,-0.12001240391874457,0.40454293054656865,0.28267996885342295,-0.1218629616931457,0.23935417504764872,0.15370151079158303,-0.08565266425606569,0.0,0.0034,0.4323999999999999,"(0.17235924193125843, 0.3360977800880641)","(0.04498029301470666, 0.27062508751482683)","(-0.20172196202091133, 0.032612333222864894)"
1.0,Uppsala Speaks_Group Briefing,0.24035724839563324,0.46072031238648203,0.2203630639908488,0.3384115898230393,0.5276924796510876,0.18928088982804825,0.2239296866801151,0.36805018242030557,0.14412049574019054,0.0048,0.0,0.1502,"(0.1499616492347577, 0.3271455523359992)","(0.3015952461673001, 0.45499696042405874)","(0.0542269156788245, 0.2217999212833143)"
2.0,Uppsala Speaks_Group Building Plus,0.3529028989369815,0.7516345534207645,0.39873165448378295,0.4306278546970681,0.66678792721933,0.2361600725222619,0.3305851415730927,0.4014441629955209,0.07085902142242818,0.0196,0.0,0.0,"(0.2559687853644276, 0.44541645947397696)","(0.3259438623491642, 0.521505445334304)","(-0.04467203518914368, 0.1806462408019458)"
3.0,FNQCJ,0.1415424023060164,0.6808215719527619,0.5392791696467456,-0.07104359808130822,0.490588468232938,0.5616320663142462,-0.06868382119096453,0.3279408398873785,0.396624661078343,0.9930000000000001,0.007,0.0194,"(-0.14620459796927357, 0.023567624849532058)","(0.2321739186772643, 0.4871607413290547)","(0.25285886355578335, 0.5760232847058985)"
4.0,ACP,0.08584890913473953,0.06116594274795748,-0.024682966386782045,0.14228978962757277,0.016670326922834988,-0.12561946270473778,0.11097967342531144,0.007595610628806355,-0.1033840627965051,0.009,0.407,0.14559999999999995,"(0.08355705755937218, 0.14162307684856826)","(-0.018146771040224618, 0.03751684590240743)","(-0.1432397278315665, -0.06323177018917565)"
5.0,Sydney CC,0.11920911740155146,0.03552752010550161,-0.08368159729604985,0.380240176329816,0.45602850887769764,0.07578833254788164,0.36872145737188744,0.459873259114625,0.09115180174273756,0.627,0.9354,0.6788000000000001,"(0.31422097506880425, 0.42642403547433694)","(0.39768497975618355, 0.5351009514639589)","(0.005159853353883097, 0.1827154791039661)"
6.0,Forest ERA_Citizens,0.4041273713921992,0.5084737583111412,0.10434638691894199,0.3624828530901154,0.4960087725677449,0.13352591947762948,0.2651026155115979,0.3784836784422223,0.11338106293062442,0.053,0.0226,0.7604,"(0.16228127304103707, 0.3887666206116468)","(0.2733324024236338, 0.5090672240887479)","(-0.04798758144492196, 0.284226745009953)"
7.0,Forest ERA_Stakeholders,0.04628333982426866,0.3371998717564762,0.29091653193220757,0.4080243120261533,0.4846059895254837,0.07658167749933043,0.384893272982224,0.4444207461244476,0.059527473142223536,0.5434,0.1958,0.7208,"(0.308246734544059, 0.4891268061190868)","(0.3853873829453678, 0.5169689800834998)","(-0.05370723771572314, 0.16945583137720163)"
8.0,Biobanking_UBC,0.04347027810310345,0.0053107128212996155,-0.03815956528180384,0.23261385057951633,0.32863827715167915,0.09602442657216281,0.21155693735439157,0.33471809656954526,0.1231611592151537,0.5488,0.8562000000000001,0.49439999999999995,"(0.12819172106168034, 0.31007592775975584)","(0.26898195948997783, 0.40983749525248026)","(0.01973407933037877, 0.22303137106070495)"
9.0,Biobanking_Mayo,0.05162510296456461,0.2726660370093549,0.22104093404479028,0.2762641224189706,0.33608068844243455,0.05981656602346397,0.2760206576843906,0.26596834087662835,-0.010052316807762248,0.9686,0.1302,0.1868,"(0.20901544896080707, 0.35512994465574826)","(0.1665282799007789, 0.3811851095938786)","(-0.1309292919115783, 0.12441289847042707)"
10.0,Biobanking_WA_Citizens,0.21397356453600672,0.4964256083670189,0.2824520438310122,0.20576750709918867,0.5037228010273893,0.29795529392820064,0.1371230160532608,0.40085964206033825,0.26373662600707753,0.3608,0.0694,0.674,"(0.005920887263408138, 0.31643542564818483)","(0.2927432140025162, 0.5482212600332336)","(0.057101277929146724, 0.46555138044977057)"
11.0,Biobanking_WA_Stakeholders,0.3086810343791305,0.32971031782902677,0.02102928344989624,0.33340805301164567,0.26704454886049356,-0.06636350415115211,0.24553574502155576,0.1861824128786697,-0.05935333214288603,0.0506,0.1002,0.8946000000000001,"(0.15721793444331345, 0.36112770981728043)","(0.08853115213359121, 0.30873582813793443)","(-0.19192882778290604, 0.07179860658846024)"
12.0,Fremantle Bridge,0.3377308004602853,0.6898130435535201,0.3520822430932348,0.2109391919163477,0.33810436303812064,0.12716517112177295,0.07508107103525268,0.06709885895806772,-0.007982212077184955,0.0004,0.0,0.0018,"(0.029334188586211396, 0.15006828630607222)","(-0.009266390607791147, 0.19641064423411322)","(-0.0925198609513381, 0.10002615376141531)"
13.0,CCPS,0.3975580856725785,0.23034156043514672,-0.16721652523743177,0.5295712223574569,0.617570521982931,0.08799929962547415,0.4056758480017655,0.5705987909551689,0.1649229429534034,0.0,0.0318,0.025800000000000045,"(0.3403980688396745, 0.49199425127443513)","(0.5257639626965637, 0.6282625373790865)","(0.07474171929088497, 0.2453387910735845)"
14.0,Energy Futures_WA,0.18244446416712837,0.46090596278863644,0.27846149862150804,0.24592118626077153,0.48095328169342166,0.23503209543265013,0.18521971954134586,0.34517896385382946,0.1599592443124836,0.1382,0.0,0.0676,"(0.11006258821628148, 0.306945350048842)","(0.2856544592144536, 0.4179506516284662)","(0.023690938606421533, 0.2638527479006138)"
15.0,Energy Futures_NSW,-0.0778333562979915,0.31777622279952655,0.39560957909751804,0.24460076229104488,0.4685390075854803,0.2239382452944354,0.2580218410948188,0.41000017716241627,0.1519783360675975,0.9056,0.0424,0.1992,"(0.15236998694048762, 0.4160679825712174)","(0.3434171407225033, 0.4840887098732602)","(-0.015729530678831337, 0.2840015314708999)"
16.0,Energy Futures_Vic,0.31961444429351676,0.5414126232688722,0.22179817897535542,0.2842890144449495,0.6172403417825487,0.33295132733759925,0.22675786329232206,0.46141971567406415,0.23466185238174217,0.243,0.0,0.0416,"(0.14556907587370974, 0.355584659420141)","(0.38065674454535453, 0.5707069318199464)","(0.10900476855667952, 0.35721805615447316)"
17.0,Valsamoggia,0.8158376011272916,0.6611798677611801,-0.15465773336611155,0.35959642113536106,0.3060081127341603,-0.05358830840120077,-0.166096950269607,-0.07832906497188567,0.08776788529772135,0.0,0.0036,0.07899999999999996,"(-0.3090407592875676, 0.17191224726217028)","(-0.22195661322727295, 0.24943076397089053)","(-0.1380348044943815, 0.280355106609378)"
18.0,GBR Futures,0.21371960024171371,-0.11957328546002241,-0.3332928857017361,0.53337040405532,0.6527827367810135,0.11941233272569352,0.47702629897695586,0.6398166013478003,0.16279030237084433,0.2246,0.5562,0.4534,"(0.35014929444565834, 0.6134361598426377)","(0.5919558706536412, 0.6978556479059159)","(0.005466507990624869, 0.31845859960363376)"
0.19,AusCJ_Control,0.2379767248874668,0.29063180933846017,0.05265508445099337,0.4294794268123392,0.44966442083771163,0.020184994025372438,0.386452612756544,0.359414056010953,-0.027038556745591063,0.07,0.002,0.1168,"(0.3363239987744832, 0.451965689125729)","(0.29826651125898934, 0.43635208606496156)","(-0.10452692987999873, 0.05344232232635193)"
