StudyID,Study,CaseID,Case,Participant,DRIPre,DRIPost
1,Uppsala Speaks,0.1,Uppsala Speaks_Control,1000.0,0.5903320745417906,0.48003735193656705
1,Uppsala Speaks,0.1,Uppsala Speaks_Control,1002.0,0.4843896082403978,0.33067023510895077
1,Uppsala Speaks,0.1,Uppsala Speaks_Control,1004.0,0.1864314767968982,0.27239041338137615
1,Uppsala Speaks,0.1,Uppsala Speaks_Control,1006.0,0.4548520253496189,0.5146150752345637
1,Uppsala Speaks,0.1,Uppsala Speaks_Control,1008.0,0.5554810526734562,0.2785730051315587
1,Uppsala Speaks,0.1,Uppsala Speaks_Control,1010.0,0.44311442677265744,0.3665058764285538
1,Uppsala Speaks,0.1,Uppsala Speaks_Control,1012.0,0.45533114258672636,0.47476947780818657
1,Uppsala Speaks,0.1,Uppsala Speaks_Control,1014.0,0.4792895994639925,0.44370389431420554
1,Uppsala Speaks,0.1,Uppsala Speaks_Control,1016.0,0.47118209754177887,0.17934419946505376
1,Uppsala Speaks,0.1,Uppsala Speaks_Control,1018.0,0.4247480247654616,-0.12169756413915211
1,Uppsala Speaks,0.1,Uppsala Speaks_Control,1020.0,0.383008490761372,0.29176458249828663
1,Uppsala Speaks,0.1,Uppsala Speaks_Control,1022.0,0.37962476489396213,0.4049688867571555
1,Uppsala Speaks,0.1,Uppsala Speaks_Control,1024.0,0.4498790906036887,0.07812480147910805
1,Uppsala Speaks,0.1,Uppsala Speaks_Control,1026.0,-0.1948796121994616,0.008450919725974781
1,Uppsala Speaks,0.1,Uppsala Speaks_Control,1028.0,0.28459155096224364,-0.2286876422662515
1,Uppsala Speaks,0.1,Uppsala Speaks_Control,1030.0,0.19997441321725362,0.5759628601176481
1,Uppsala Speaks,0.1,Uppsala Speaks_Control,1032.0,0.40995410118312425,0.30285167798980783
1,Uppsala Speaks,0.1,Uppsala Speaks_Control,1034.0,0.2575395294637559,0.2672118682960123
1,Uppsala Speaks,0.1,Uppsala Speaks_Control,1036.0,0.6841073575145993,0.31992283697110224
1,Uppsala Speaks,0.1,Uppsala Speaks_Control,1038.0,0.691907395798055,0.41411662082975575
1,Uppsala Speaks,1.0,Uppsala Speaks_Group Briefing,1.0,0.3865177489971503,0.4774760256357604
1,Uppsala Speaks,1.0,Uppsala Speaks_Group Briefing,2.0,0.29763837241919444,0.5904197028650222
1,Uppsala Speaks,1.0,Uppsala Speaks_Group Briefing,3.0,0.5564860793712632,0.6755141719851949
1,Uppsala Speaks,1.0,Uppsala Speaks_Group Briefing,4.0,0.3770960194840822,0.5572675148760144
1,Uppsala Speaks,1.0,Uppsala Speaks_Group Briefing,5.0,0.6094473252201289,0.5312122036717921
1,Uppsala Speaks,1.0,Uppsala Speaks_Group Briefing,6.0,0.34479054463561454,0.41471905953183374
1,Uppsala Speaks,1.0,Uppsala Speaks_Group Briefing,7.0,0.27746880389261364,0.5667458885580097
1,Uppsala Speaks,1.0,Uppsala Speaks_Group Briefing,8.0,0.521753688389264,0.6023824867163867
1,Uppsala Speaks,1.0,Uppsala Speaks_Group Briefing,9.0,0.21850457842310012,0.5784343981155557
1,Uppsala Speaks,1.0,Uppsala Speaks_Group Briefing,10.0,0.3964815007038476,0.4862685576402437
