case,CaseName,delta_of_deltas,bottom_quartile_delta,delta,top_quartile_delta
0.1,Uppsala Speaks_Control,0.10940805243455454,-0.11901512404652359,-0.1218629616931457,-0.22842317648107813
1.0,Uppsala Speaks_Group Briefing,0.30134085664296806,0.19079288486786972,0.18928088982804825,-0.11054797177509834
2.0,Uppsala Speaks_Group Building Plus,-0.0019720892060928197,0.19928614439023695,0.2361600725222619,0.20125823359632977
3.0,FNQCJ,0.9433852103211929,1.016554081842941,0.5616320663142462,0.07316887152174811
4.0,ACP,-0.16009686822129976,-0.19279045007570605,-0.12561946270473778,-0.032693581854406295
5.0,Sydney CC,0.0417360466274419,0.24021198439502367,0.07578833254788164,0.19847593776758177
6.0,Forest ERA_Citizens,0.24624831885478948,0.19096763109354575,0.13352591947762948,-0.05528068776124373
7.0,Forest ERA_Stakeholders,0.03831420359352555,0.13418320828633767,0.07658167749933043,0.09586900469281212
8.0,Biobanking_UBC,0.28683124877778887,0.2270760722748204,0.09602442657216281,-0.059755176502968466
9.0,Biobanking_Mayo,0.10820251967494898,0.13593583312522206,0.05981656602346397,0.027733313450273078
10.0,Biobanking_WA_Citizens,0.40294858441076287,0.3357238129983887,0.29795529392820064,-0.06722477141237415
11.0,Biobanking_WA_Stakeholders,0.06053609105096003,-0.0884630135055966,-0.06636350415115211,-0.14899910455655663
12.0,Fremantle Bridge,-0.09968461587636424,0.17613735245233486,0.12716517112177295,0.2758219683286991
13.0,CCPS,0.335741962350415,0.16909719098450227,0.08799929962547415,-0.16664477136591271
14.0,Energy Futures_WA,-0.31211217092192856,-0.15706350216290899,0.23503209543265013,0.15504866875901957
15.0,Energy Futures_NSW,-0.1447935834759515,0.02345772598528506,0.2239382452944354,0.16825130946123656
16.0,Energy Futures_Vic,-0.270774779708578,-0.11789051833844533,0.33295132733759925,0.15288426137013267
17.0,Valsamoggia,0.2324597702927893,-0.043593485987633906,-0.05358830840120077,-0.2760532562804232
18.0,GBR Futures,-0.5774506832932257,-0.1496841139520091,0.11941233272569352,0.4277665693412166
0.19,AusCJ_Control,-0.19783244690971058,-0.0950891508143199,0.020184994025372438,0.10274329609539068
19.0,AusCJ,-0.0048976078951987745,0.11337101339509692,0.1387074663225789,0.1182686212902957
